Date,RUSHB,RACE,AXL,HRI,SUP,ADNT,MGA,PCAR,ALSN,ORLY,VC,SAH,RUSHA,CAAS,DAN,GM,HMC,TM,CSTM,F,PRTS,ALV,APTV,VLDR,TTM,DORM,MPAA,GT,LEA,FSR,ALPP,STRT
2020-01-02 00:00:00-05:00,28.947288513183594,165.29818725585938,10.970000267028809,48.32859420776367,3.759999990463257,22.100000381469727,51.21009826660156,72.04345703125,46.113075256347656,437.5199890136719,89.86000061035156,30.067733764648438,29.328887939453125,3.1700000762939453,17.679283142089844,36.76361846923828,28.639999389648438,142.24000549316406,13.420000076293945,8.925089836120605,2.319999933242798,80.71513366699219,96.06566619873047,10.15999984741211,13.520000457763672,75.66000366210938,22.100000381469727,15.198391914367676,134.52130126953125,10.170000076293945,0.1850000023841858,22.375001907348633
2020-01-03 00:00:00-05:00,28.8773193359375,163.55210876464844,10.300000190734863,47.731101989746094,3.740000009536743,20.68000030517578,49.9554443359375,71.3366928100586,45.50942611694336,438.75,88.86000061035156,29.360485076904297,29.354389190673828,3.130000114440918,16.734729766845703,35.721092224121094,28.1299991607666,140.75,13.239999771118164,8.726123809814453,2.309999942779541,78.4466323852539,93.86127471923828,10.199999809265137,13.180000305175781,76.01000213623047,21.690000534057617,14.565948486328125,131.39088439941406,10.170000076293945,0.18000000715255737,22.901355743408203
2020-01-06 00:00:00-05:00,28.622896194458008,162.68890380859375,9.920000076293945,47.427459716796875,3.509999990463257,20.780000686645508,49.62333679199219,71.07392883300781,45.5754508972168,434.6600036621094,86.33000183105469,28.376068115234375,29.029293060302734,3.130000114440918,16.52482795715332,35.24900436401367,28.049999237060547,140.77000427246094,12.979999542236328,8.678750038146973,2.25,77.23239135742188,92.11571502685547,10.199999809265137,13.029999732971191,73.75,21.770000457763672,14.773468971252441,130.6707000732422,10.170000076293945,0.17000000178813934,22.643144607543945
2020-01-07 00:00:00-05:00,28.65469741821289,162.07090759277344,10.220000267028809,46.56549835205078,3.5899999141693115,21.190000534057617,50.084590911865234,70.60276794433594,45.66033935546875,428.7699890136719,85.31999969482422,28.509870529174805,29.06753921508789,3.130000114440918,16.59161949157715,34.57038879394531,28.209999084472656,141.50999450683594,13.430000305175781,8.764020919799805,2.3299999237060547,77.17589569091797,90.95866394042969,10.210000038146973,12.819999694824219,76.22000122070312,20.940000534057617,14.882170677185059,130.8915557861328,10.170000076293945,0.15000000596046448,22.692800521850586
2020-01-08 00:00:00-05:00,28.64197540283203,165.32760620117188,9.640000343322754,46.36959457397461,3.4100000858306885,20.93000030517578,49.89087677001953,71.54509735107422,46.29228591918945,431.8999938964844,86.56999969482422,28.376068115234375,29.02291488647461,3.119999885559082,16.314931869506836,34.078636169433594,28.1299991607666,141.16000366210938,13.40999984741211,8.764020919799805,2.759999990463257,77.26062774658203,92.85383605957031,10.199999809265137,12.859999656677246,75.81999969482422,20.950000762939453,14.812996864318848,132.1686553955078,10.15999984741211,0.15000000596046448,22.643144607543945
2020-01-09 00:00:00-05:00,28.07588005065918,166.67152404785156,9.510000228881836,46.83975601196289,3.369999885559082,20.6200008392334,49.80784225463867,71.08300018310547,46.367733001708984,437.3699951171875,84.62000274658203,27.812177658081055,28.646821975708008,3.1500000953674316,16.248140335083008,34.50154113769531,28.030000686645508,140.50999450683594,13.170000076293945,8.7734956741333,2.9000000953674316,76.21578979492188,91.4972915649414,10.199999809265137,13.329999923706055,75.55000305175781,20.540000915527344,14.516538619995117,133.0425262451172,10.170000076293945,0.1459999978542328,22.3452091217041
2020-01-10 00:00:00-05:00,28.80735206604004,168.04483032226562,9.140000343322754,44.64567565917969,3.200000047683716,20.469999313354492,49.115936279296875,70.50310516357422,45.952728271484375,436.8500061035156,84.70999908447266,27.879077911376953,28.67232322692871,3.049999952316284,15.790180206298828,34.078636169433594,27.719999313354492,139.72999572753906,13.279999732971191,8.764020919799805,2.859999895095825,74.63443756103516,89.28292846679688,10.199999809265137,13.609999656677246,75.52999877929688,20.530000686645508,14.299137115478516,130.9875946044922,10.170000076293945,0.15000000596046448,21.93802833557129
2020-01-13 00:00:00-05:00,29.036338806152344,170.968017578125,9.050000190734863,44.420387268066406,3.2799999713897705,20.860000610351562,48.94987487792969,70.72962188720703,46.3111457824707,435.5,86.5199966430664,29.293581008911133,28.75518798828125,3.1500000953674316,15.723392486572266,34.40319061279297,28.040000915527344,140.55999755859375,13.489999771118164,8.754548072814941,2.7300000190734863,73.74021911621094,88.64454650878906,10.199999809265137,13.720000267028809,77.8499984741211,20.81999969482422,14.76358699798584,130.81472778320312,10.170000076293945,0.15000000596046448,21.848648071289062
2020-01-14 00:00:00-05:00,29.233518600463867,168.28024291992188,9.1899995803833,44.02858352661133,3.5199999809265137,21.270000457763672,49.328121185302734,70.85646057128906,46.528079986572266,438.510009765625,88.27999877929688,29.398712158203125,28.90180206298828,3.190000057220459,15.580281257629395,34.57038879394531,27.8799991607666,140.3699951171875,13.119999885559082,8.801920890808105,2.6500000953674316,74.77564239501953,88.78419494628906,10.1899995803833,13.75,77.93000030517578,20.899999618530273,14.82287883758545,131.41009521484375,10.170000076293945,0.13300000131130219,21.868511199951172
2020-01-15 00:00:00-05:00,29.20807456970215,169.29061889648438,9.329999923706055,44.37141418457031,3.440000057220459,21.389999389648438,49.07902908325195,70.18597412109375,45.90556716918945,438.1499938964844,87.18000030517578,29.303138732910156,28.91455078125,3.190000057220459,15.532574653625488,34.57038879394531,27.610000610351562,139.36000061035156,12.800000190734863,8.707175254821777,2.680000066757202,75.0580062866211,87.66703033447266,10.1899995803833,13.949999809265137,77.30000305175781,21.329999923706055,14.447365760803223,131.51573181152344,10.1899995803833,0.11900000274181366,22.067134857177734
